Year,NOC,Rank,Gold,Silver,Bronze,Total,Market_Share_Gold,Market_Share_Total,Total_Events,is_host,Host_NOC,years_since_last,crossed_war,years_since_hosted,olympic_experience,first_medal_year,is_post_soviet,years_since_independence,NOC_original
1964,CAN,22,1,2,1,4,0.002702702702702703,0.010810810810810811,370,0,JPN,4.0,0,999,64,1900,0,0,Canada
1968,CAN,23,1,3,1,5,0.0025906735751295338,0.012953367875647668,386,0,MEX,4.0,0,999,68,1900,0,0,Canada
1972,CAN,27,0,2,3,5,0.0,0.011389521640091117,439,0,GER,4.0,0,999,72,1900,0,0,Canada
1976,CAN,27,0,5,6,11,0.0,0.024774774774774775,444,1,CAN,4.0,0,0,76,1900,0,0,Canada
1984,CAN,6,10,18,16,44,0.02032520325203252,0.08943089430894309,492,0,USA,8.0,0,8,84,1900,0,0,Canada
1988,CAN,19,3,2,5,10,0.005681818181818182,0.01893939393939394,528,0,KOR,4.0,0,12,88,1900,0,0,Canada
1992,CAN,11,7,4,7,18,0.012216404886561954,0.031413612565445025,573,0,ESP,4.0,0,16,92,1900,0,0,Canada
1996,CAN,21,3,11,8,22,0.004966887417218543,0.03642384105960265,604,0,USA,4.0,0,20,96,1900,0,0,Canada
2000,CAN,24,3,3,8,14,0.004497751124437781,0.020989505247376312,667,0,AUS,4.0,0,24,100,1900,0,0,Canada
2004,CAN,21,3,6,3,12,0.004484304932735426,0.017937219730941704,669,0,GRE,4.0,0,28,104,1900,0,0,Canada
2008,CAN,20,3,9,8,20,0.004457652303120356,0.029717682020802376,673,0,CHN,4.0,0,32,108,1900,0,0,Canada
2012,CAN,27,2,6,10,18,0.0029850746268656717,0.026865671641791045,670,0,GBR,4.0,0,36,112,1900,0,0,Canada
2016,CAN,20,4,3,15,22,0.005865102639296188,0.03225806451612903,682,0,BRA,4.0,0,40,116,1900,0,0,Canada
2020,CAN,11,7,7,10,24,0.009198423127463863,0.03153745072273324,761,0,JPN,4.0,0,44,120,1900,0,0,Canada
2024,CAN,12,9,7,11,27,0.012195121951219513,0.036585365853658534,738,0,FRA,4.0,0,48,124,1900,0,0,Canada
1928,CHI,30,0,1,0,1,0.0,0.003968253968253968,252,0,NED,0.0,0,999,0,1928,0,0,Chile
1952,CHI,31,0,2,0,2,0.0,0.005917159763313609,338,0,FIN,24.0,0,999,24,1928,0,0,Chile
1956,CHI,27,0,2,2,4,0.0,0.011695906432748537,342,0,AUS,4.0,0,999,28,1928,0,0,Chile
1988,CHI,36,0,1,0,1,0.0,0.001893939393939394,528,0,KOR,32.0,0,999,60,1928,0,0,Chile
2000,CHI,71,0,0,1,1,0.0,0.0014992503748125937,667,0,AUS,12.0,0,999,72,1928,0,0,Chile
2004,CHI,39,2,0,1,3,0.0029895366218236174,0.004484304932735426,669,0,GRE,4.0,0,999,76,1928,0,0,Chile
2008,CHI,72,0,1,0,1,0.0,0.0014858841010401188,673,0,CHN,4.0,0,999,80,1928,0,0,Chile
2024,CHI,55,1,1,0,2,0.0013550135501355014,0.0027100271002710027,738,0,FRA,16.0,0,999,96,1928,0,0,Chile
1984,CHN,4,15,8,9,32,0.03048780487804878,0.06504065040650407,492,0,USA,0.0,0,999,0,1984,0,0,China
1988,CHN,11,5,11,12,28,0.00946969696969697,0.05303030303030303,528,0,KOR,4.0,0,999,4,1984,0,0,China
1992,CHN,4,16,22,16,54,0.027923211169284468,0.09424083769633508,573,0,ESP,4.0,0,999,8,1984,0,0,China
1996,CHN,4,16,22,12,50,0.026490066225165563,0.08278145695364239,604,0,USA,4.0,0,999,12,1984,0,0,China
2000,CHN,3,28,16,14,58,0.041979010494752625,0.08695652173913043,667,0,AUS,4.0,0,999,16,1984,0,0,China
2004,CHN,2,32,17,14,63,0.04783258594917788,0.09417040358744394,669,0,GRE,4.0,0,999,20,1984,0,0,China
2008,CHN,1,48,22,30,100,0.0713224368499257,0.1485884101040119,673,1,CHN,4.0,0,0,24,1984,0,0,China
2012,CHN,2,39,31,22,92,0.058208955223880594,0.1373134328358209,670,0,GBR,4.0,0,4,28,1984,0,0,China
2016,CHN,3,26,18,26,70,0.03812316715542522,0.10263929618768329,682,0,BRA,4.0,0,8,32,1984,0,0,China
2020,CHN,2,38,32,19,89,0.04993429697766097,0.11695137976346912,761,0,JPN,4.0,0,12,36,1984,0,0,China
2024,CHN,2,40,27,24,91,0.05420054200542006,0.12330623306233063,738,0,FRA,4.0,0,16,40,1984,0,0,China
1968,CMR,39,0,1,0,1,0.0,0.0025906735751295338,386,0,MEX,0.0,0,999,0,1968,0,0,Cameroon
1984,CMR,43,0,0,1,1,0.0,0.0020325203252032522,492,0,USA,16.0,0,999,16,1968,0,0,Cameroon
2000,CMR,50,1,0,0,1,0.0014992503748125937,0.0014992503748125937,667,0,AUS,16.0,0,999,32,1968,0,0,Cameroon
2004,CMR,54,1,0,0,1,0.0014947683109118087,0.0014947683109118087,669,0,GRE,4.0,0,999,36,1968,0,0,Cameroon
2008,CMR,53,1,0,0,1,0.0014858841010401188,0.0014858841010401188,673,0,CHN,4.0,0,999,40,1968,0,0,Cameroon
2012,CMR,79,0,0,1,1,0.0,0.0014925373134328358,670,0,GBR,4.0,0,999,44,1968,0,0,Cameroon
1972,COL,31,0,1,2,3,0.0,0.00683371298405467,439,0,GER,0.0,0,999,0,1972,0,0,Colombia
1984,COL,33,0,1,0,1,0.0,0.0020325203252032522,492,0,USA,12.0,0,999,12,1972,0,0,Colombia
1988,COL,46,0,0,1,1,0.0,0.001893939393939394,528,0,KOR,4.0,0,999,16,1972,0,0,Colombia
1992,COL,54,0,0,1,1,0.0,0.0017452006980802793,573,0,ESP,4.0,0,999,20,1972,0,0,Colombia
2000,COL,50,1,0,0,1,0.0014992503748125937,0.0014992503748125937,667,0,AUS,8.0,0,999,28,1972,0,0,Colombia
2004,COL,68,0,0,2,2,0.0,0.0029895366218236174,669,0,GRE,4.0,0,999,32,1972,0,0,Colombia
2008,COL,60,0,2,1,3,0.0,0.004457652303120356,673,0,CHN,4.0,0,999,36,1972,0,0,Colombia
2012,COL,38,1,3,5,9,0.0014925373134328358,0.013432835820895522,670,0,GBR,4.0,0,999,40,1972,0,0,Colombia
2016,COL,22,3,2,3,8,0.004398826979472141,0.011730205278592375,682,0,BRA,4.0,0,999,44,1972,0,0,Colombia
2020,COL,66,0,4,1,5,0.0,0.006570302233902759,761,0,JPN,4.0,0,999,48,1972,0,0,Colombia
2024,COL,66,0,3,1,4,0.0,0.005420054200542005,738,0,FRA,4.0,0,999,52,1972,0,0,Colombia
1988,CRC,36,0,1,0,1,0.0,0.001893939393939394,528,0,KOR,0.0,0,999,0,1988,0,0,Costa Rica
1996,CRC,49,1,0,0,1,0.0016556291390728477,0.0016556291390728477,604,0,USA,8.0,0,999,8,1988,0,0,Costa Rica
2000,CRC,69,0,0,2,2,0.0,0.0029985007496251873,667,0,AUS,4.0,0,999,12,1988,0,0,Costa Rica
1992,CRO,44,0,1,2,3,0.0,0.005235602094240838,573,0,ESP,0.0,0,999,0,1992,0,0,Croatia
1996,CRO,45,1,1,0,2,0.0016556291390728477,0.0033112582781456954,604,0,USA,4.0,0,999,4,1992,0,0,Croatia
2000,CRO,49,1,0,1,2,0.0014992503748125937,0.0029985007496251873,667,0,AUS,4.0,0,999,8,1992,0,0,Croatia
2004,CRO,44,1,2,2,5,0.0014947683109118087,0.007473841554559043,669,0,GRE,4.0,0,999,12,1992,0,0,Croatia
2008,CRO,59,0,2,3,5,0.0,0.007429420505200594,673,0,CHN,4.0,0,999,16,1992,0,0,Croatia
2012,CRO,26,3,1,2,6,0.004477611940298508,0.008955223880597015,670,0,GBR,4.0,0,999,20,1992,0,0,Croatia
2016,CRO,17,5,3,2,10,0.007331378299120235,0.01466275659824047,682,0,BRA,4.0,0,999,24,1992,0,0,Croatia
2020,CRO,26,3,3,2,8,0.003942181340341655,0.010512483574244415,761,0,JPN,4.0,0,999,28,1992,0,0,Croatia
2024,CRO,30,2,2,3,7,0.0027100271002710027,0.009485094850948509,738,0,FRA,4.0,0,999,32,1992,0,0,Croatia
1900,CUB,12,1,1,0,2,0.00423728813559322,0.00847457627118644,236,0,FRA,0.0,0,999,0,1900,0,0,Cuba
1904,CUB,4,3,0,0,3,0.013392857142857142,0.013392857142857142,224,0,USA,4.0,0,999,4,1900,0,0,Cuba
1948,CUB,28,0,1,0,1,0.0,0.003205128205128205,312,0,GBR,44.0,1,999,48,1900,0,0,Cuba
1964,CUB,30,0,1,0,1,0.0,0.002702702702702703,370,0,JPN,16.0,0,999,64,1900,0,0,Cuba
1968,CUB,31,0,4,0,4,0.0,0.010362694300518135,386,0,MEX,4.0,0,999,68,1900,0,0,Cuba
1972,CUB,14,3,1,4,8,0.00683371298405467,0.018223234624145785,439,0,GER,4.0,0,999,72,1900,0,0,Cuba
1976,CUB,8,6,4,3,13,0.013513513513513514,0.02927927927927928,444,0,CAN,4.0,0,999,76,1900,0,0,Cuba
1980,CUB,4,8,7,5,20,0.01762114537444934,0.04405286343612335,454,0,RUS,4.0,0,999,80,1900,0,0,Cuba
1992,CUB,5,14,6,11,31,0.02443280977312391,0.05410122164048865,573,0,ESP,12.0,0,999,92,1900,0,0,Cuba
1996,CUB,8,9,8,8,25,0.014900662251655629,0.041390728476821195,604,0,USA,4.0,0,999,96,1900,0,0,Cuba
2000,CUB,9,11,11,7,29,0.01649175412293853,0.043478260869565216,667,0,AUS,4.0,0,999,100,1900,0,0,Cuba
2004,CUB,11,9,7,11,27,0.013452914798206279,0.04035874439461883,669,0,GRE,4.0,0,999,104,1900,0,0,Cuba
2008,CUB,19,3,10,17,30,0.004457652303120356,0.04457652303120357,673,0,CHN,4.0,0,999,108,1900,0,0,Cuba
2012,CUB,16,5,3,7,15,0.007462686567164179,0.022388059701492536,670,0,GBR,4.0,0,999,112,1900,0,0,Cuba
2016,CUB,18,5,2,4,11,0.007331378299120235,0.016129032258064516,682,0,BRA,4.0,0,999,116,1900,0,0,Cuba
2020,CUB,14,7,3,5,15,0.009198423127463863,0.01971090670170828,761,0,JPN,4.0,0,999,120,1900,0,0,Cuba
2024,CUB,32,2,1,6,9,0.0027100271002710027,0.012195121951219513,738,0,FRA,4.0,0,999,124,1900,0,0,Cuba
2012,CYP,70,0,1,0,1,0.0,0.0014925373134328358,670,0,GBR,0.0,0,999,0,2012,0,0,Cyprus
2024,CYP,74,0,1,0,1,0.0,0.0013550135501355014,738,0,FRA,12.0,0,999,12,2012,0,0,Cyprus
1900,CZE,20,0,1,1,2,0.0,0.00847457627118644,236,0,FRA,0.0,0,999,0,1900,0,0,Bohemia
1908,CZE,17,0,0,2,2,0.0,0.00749063670411985,267,0,GBR,8.0,0,999,8,1900,0,0,Bohemia
1920,CZE,21,0,0,2,2,0.0,0.005509641873278237,363,0,BEL,12.0,1,999,20,1900,0,0,Czechoslovakia
1924,CZE,15,1,4,5,10,0.003424657534246575,0.03424657534246575,292,0,FRA,4.0,0,999,24,1900,0,0,Czechoslovakia
1928,CZE,14,2,5,2,9,0.007936507936507936,0.03571428571428571,252,0,NED,4.0,0,999,28,1900,0,0,Czechoslovakia
1932,CZE,17,1,3,2,6,0.0037313432835820895,0.022388059701492536,268,0,USA,4.0,0,999,32,1900,0,0,Czechoslovakia
1936,CZE,13,3,5,1,9,0.009933774834437087,0.029801324503311258,302,0,GER,4.0,0,999,36,1900,0,0,Czechoslovakia
1948,CZE,8,6,2,3,11,0.019230769230769232,0.035256410256410256,312,0,GBR,12.0,1,999,48,1900,0,0,Czechoslovakia
1952,CZE,6,7,3,3,13,0.020710059171597635,0.038461538461538464,338,0,FIN,4.0,0,999,52,1900,0,0,Czechoslovakia
1956,CZE,18,1,4,1,6,0.0029239766081871343,0.017543859649122806,342,0,AUS,4.0,0,999,56,1900,0,0,Czechoslovakia
1960,CZE,10,3,2,3,8,0.008823529411764706,0.023529411764705882,340,0,ITA,4.0,0,999,60,1900,0,0,Czechoslovakia
1964,CZE,9,5,6,3,14,0.013513513513513514,0.03783783783783784,370,0,JPN,4.0,0,999,64,1900,0,0,Czechoslovakia
1968,CZE,7,7,2,4,13,0.018134715025906734,0.03367875647668394,386,0,MEX,4.0,0,999,68,1900,0,0,Czechoslovakia
1972,CZE,18,2,4,2,8,0.004555808656036446,0.018223234624145785,439,0,GER,4.0,0,999,72,1900,0,0,Czechoslovakia
1976,CZE,17,2,2,4,8,0.0045045045045045045,0.018018018018018018,444,0,CAN,4.0,0,999,76,1900,0,0,Czechoslovakia
1980,CZE,13,2,3,9,14,0.004405286343612335,0.030837004405286344,454,0,RUS,4.0,0,999,80,1900,0,0,Czechoslovakia
1988,CZE,17,3,3,2,8,0.005681818181818182,0.015151515151515152,528,0,KOR,8.0,0,999,88,1900,0,0,Czechoslovakia
1992,CZE,15,4,2,1,7,0.006980802792321117,0.012216404886561954,573,0,ESP,4.0,0,999,92,1900,0,0,Czechoslovakia
1996,CZE,17,4,3,4,11,0.006622516556291391,0.018211920529801324,604,0,USA,4.0,0,999,96,1900,0,0,Czech Republic
2000,CZE,28,2,3,3,8,0.0029985007496251873,0.01199400299850075,667,0,AUS,4.0,0,999,100,1900,0,0,Czech Republic
2004,CZE,42,1,3,5,9,0.0014947683109118087,0.013452914798206279,669,0,GRE,4.0,0,999,104,1900,0,0,Czech Republic
2008,CZE,25,3,3,1,7,0.004457652303120356,0.010401188707280832,673,0,CHN,4.0,0,999,108,1900,0,0,Czech Republic
2012,CZE,19,4,4,3,11,0.005970149253731343,0.016417910447761194,670,0,GBR,4.0,0,999,112,1900,0,0,Czech Republic
2016,CZE,43,1,2,7,10,0.001466275659824047,0.01466275659824047,682,0,BRA,4.0,0,999,116,1900,0,0,Czech Republic
2020,CZE,18,4,4,3,11,0.005256241787122208,0.01445466491458607,761,0,JPN,4.0,0,999,120,1900,0,0,Czech Republic
2024,CZE,28,3,0,2,5,0.0040650406504065045,0.006775067750677507,738,0,FRA,4.0,0,999,124,1900,0,0,Czech Republic
2024,Cabo Verde,84,0,0,1,1,0.0,0.0013550135501355014,738,0,FRA,0.0,0,999,0,2024,0,0,Cabo Verde
1896,DEN,9,1,2,3,6,0.009345794392523364,0.056074766355140186,107,0,GRE,0.0,0,999,0,1896,0,0,Denmark
1900,DEN,10,1,3,2,6,0.00423728813559322,0.025423728813559324,236,0,FRA,4.0,0,999,4,1896,0,0,Denmark
1908,DEN,16,0,2,3,5,0.0,0.018726591760299626,267,0,GBR,8.0,0,999,12,1896,0,0,Denmark
1912,DEN,14,1,6,5,12,0.00423728813559322,0.05084745762711865,236,0,SWE,4.0,0,999,16,1896,0,0,Denmark
1920,DEN,10,3,9,1,13,0.008264462809917356,0.03581267217630854,363,0,BEL,8.0,1,999,24,1896,0,0,Denmark
1924,DEN,12,2,5,2,9,0.00684931506849315,0.030821917808219176,292,0,FRA,4.0,0,999,28,1896,0,0,Denmark
1928,DEN,13,3,1,2,6,0.011904761904761904,0.023809523809523808,252,0,NED,4.0,0,999,32,1896,0,0,Denmark
1932,DEN,20,0,5,3,8,0.0,0.029850746268656716,268,0,USA,4.0,0,999,36,1896,0,0,Denmark
1936,DEN,23,0,2,3,5,0.0,0.016556291390728478,302,0,GER,4.0,0,999,40,1896,0,0,Denmark
1948,DEN,10,5,7,8,20,0.016025641025641024,0.0641025641025641,312,0,GBR,12.0,1,999,52,1896,0,0,Denmark
1952,DEN,15,2,1,3,6,0.005917159763313609,0.01775147928994083,338,0,FIN,4.0,0,999,56,1896,0,0,Denmark
1956,DEN,20,1,2,1,4,0.0029239766081871343,0.011695906432748537,342,0,AUS,4.0,0,999,60,1896,0,0,Denmark
1960,DEN,13,2,3,1,6,0.0058823529411764705,0.01764705882352941,340,0,ITA,4.0,0,999,64,1896,0,0,Denmark
1964,DEN,18,2,1,3,6,0.005405405405405406,0.016216216216216217,370,0,JPN,4.0,0,999,68,1896,0,0,Denmark
1968,DEN,22,1,4,3,8,0.0025906735751295338,0.02072538860103627,386,0,MEX,4.0,0,999,72,1896,0,0,Denmark
1972,DEN,25,1,0,0,1,0.002277904328018223,0.002277904328018223,439,0,GER,4.0,0,999,76,1896,0,0,Denmark
1976,DEN,24,1,0,2,3,0.0022522522522522522,0.006756756756756757,444,0,CAN,4.0,0,999,80,1896,0,0,Denmark
1980,DEN,16,2,1,2,5,0.004405286343612335,0.011013215859030838,454,0,RUS,4.0,0,999,84,1896,0,0,Denmark
1984,DEN,27,0,3,3,6,0.0,0.012195121951219513,492,0,USA,4.0,0,999,88,1896,0,0,Denmark
1988,DEN,23,2,1,1,4,0.003787878787878788,0.007575757575757576,528,0,KOR,4.0,0,999,92,1896,0,0,Denmark
1992,DEN,30,1,1,4,6,0.0017452006980802793,0.010471204188481676,573,0,ESP,4.0,0,999,96,1896,0,0,Denmark
1996,DEN,19,4,1,1,6,0.006622516556291391,0.009933774834437087,604,0,USA,4.0,0,999,100,1896,0,0,Denmark
2000,DEN,30,2,3,1,6,0.0029985007496251873,0.008995502248875561,667,0,AUS,4.0,0,999,104,1896,0,0,Denmark
2004,DEN,34,2,1,5,8,0.0029895366218236174,0.01195814648729447,669,0,GRE,4.0,0,999,108,1896,0,0,Denmark
2008,DEN,30,2,2,3,7,0.0029717682020802376,0.010401188707280832,673,0,CHN,4.0,0,999,112,1896,0,0,Denmark
2012,DEN,30,2,4,3,9,0.0029850746268656717,0.013432835820895522,670,0,GBR,4.0,0,999,116,1896,0,0,Denmark
2016,DEN,27,2,6,7,15,0.002932551319648094,0.021994134897360705,682,0,BRA,4.0,0,999,120,1896,0,0,Denmark
2020,DEN,25,3,4,4,11,0.003942181340341655,0.01445466491458607,761,0,JPN,4.0,0,999,124,1896,0,0,Denmark
2024,DEN,29,2,2,5,9,0.0027100271002710027,0.012195121951219513,738,0,FRA,4.0,0,999,128,1896,0,0,Denmark
1988,DJI,46,0,0,1,1,0.0,0.001893939393939394,528,0,KOR,0.0,0,999,0,1988,0,0,Djibouti
2024,DMA,62,1,0,0,1,0.0013550135501355014,0.0013550135501355014,738,0,FRA,0.0,0,999,0,2024,0,0,Dominica
1984,DOM,43,0,0,1,1,0.0,0.0020325203252032522,492,0,USA,0.0,0,999,0,1984,0,0,Dominican Republic
2004,DOM,54,1,0,0,1,0.0014947683109118087,0.0014947683109118087,669,0,GRE,20.0,0,999,20,1984,0,0,Dominican Republic
2008,DOM,47,1,1,0,2,0.0014858841010401188,0.0029717682020802376,673,0,CHN,4.0,0,999,24,1984,0,0,Dominican Republic
2012,DOM,47,1,1,0,2,0.0014925373134328358,0.0029850746268656717,670,0,GBR,4.0,0,999,28,1984,0,0,Dominican Republic
2016,DOM,78,0,0,1,1,0.0,0.001466275659824047,682,0,BRA,4.0,0,999,32,1984,0,0,Dominican Republic
2020,DOM,68,0,3,2,5,0.0,0.006570302233902759,761,0,JPN,4.0,0,999,36,1984,0,0,Dominican Republic
2024,DOM,59,1,0,2,3,0.0013550135501355014,0.0040650406504065045,738,0,FRA,4.0,0,999,40,1984,0,0,Dominican Republic
1996,ECU,49,1,0,0,1,0.0016556291390728477,0.0016556291390728477,604,0,USA,0.0,0,999,0,1996,0,0,Ecuador
2008,ECU,72,0,1,0,1,0.0,0.0014858841010401188,673,0,CHN,12.0,0,999,12,1996,0,0,Ecuador
2020,ECU,38,2,1,0,3,0.002628120893561104,0.003942181340341655,761,0,JPN,12.0,0,999,24,1996,0,0,Ecuador
2024,ECU,49,1,2,2,5,0.0013550135501355014,0.006775067750677507,738,0,FRA,4.0,0,999,28,1996,0,0,Ecuador
1928,EGY,17,2,1,1,4,0.007936507936507936,0.015873015873015872,252,0,NED,0.0,0,999,0,1928,0,0,Egypt
1936,EGY,16,2,1,2,5,0.006622516556291391,0.016556291390728478,302,0,GER,8.0,0,999,8,1928,0,0,Egypt
1948,EGY,16,2,2,1,5,0.00641025641025641,0.016025641025641024,312,0,GBR,12.0,1,999,20,1928,0,0,Egypt
1952,EGY,40,0,0,1,1,0.0,0.0029585798816568047,338,0,FIN,4.0,0,999,24,1928,0,0,Egypt
1960,EGY,30,0,1,1,2,0.0,0.0058823529411764705,340,0,ITA,8.0,0,999,32,1928,0,0,Egypt
1984,EGY,33,0,1,0,1,0.0,0.0020325203252032522,492,0,USA,24.0,0,999,56,1928,0,0,Egypt
2004,EGY,46,1,1,3,5,0.0014947683109118087,0.007473841554559043,669,0,GRE,20.0,0,999,76,1928,0,0,Egypt
2008,EGY,81,0,0,2,2,0.0,0.0029717682020802376,673,0,CHN,4.0,0,999,80,1928,0,0,Egypt
2012,EGY,56,0,3,1,4,0.0,0.005970149253731343,670,0,GBR,4.0,0,999,84,1928,0,0,Egypt
2016,EGY,75,0,0,3,3,0.0,0.004398826979472141,682,0,BRA,4.0,0,999,88,1928,0,0,Egypt
2020,EGY,54,1,1,4,6,0.001314060446780552,0.00788436268068331,761,0,JPN,4.0,0,999,92,1928,0,0,Egypt
2024,EGY,52,1,1,1,3,0.0013550135501355014,0.0040650406504065045,738,0,FRA,4.0,0,999,96,1928,0,0,Egypt
2024,EOR,84,0,0,1,1,0.0,0.0013550135501355014,738,0,FRA,0.0,0,999,0,2024,0,0,Refugee Olympic Team
2004,ERI,71,0,0,1,1,0.0,0.0014947683109118087,669,0,GRE,0.0,0,999,0,2004,0,0,Eritrea
1900,ESP,14,1,0,0,1,0.00423728813559322,0.00423728813559322,236,0,FRA,0.0,0,999,0,1900,0,0,Spain
1920,ESP,17,0,2,0,2,0.0,0.005509641873278237,363,0,BEL,20.0,1,999,20,1900,0,0,Spain
1928,ESP,24,1,0,0,1,0.003968253968253968,0.003968253968253968,252,0,NED,8.0,0,999,28,1900,0,0,Spain
1932,ESP,26,0,0,1,1,0.0,0.0037313432835820895,268,0,USA,4.0,0,999,32,1900,0,0,Spain
1948,ESP,28,0,1,0,1,0.0,0.003205128205128205,312,0,GBR,16.0,1,999,48,1900,0,0,Spain
1952,ESP,34,0,1,0,1,0.0,0.0029585798816568047,338,0,FIN,4.0,0,999,52,1900,0,0,Spain
1960,ESP,41,0,0,1,1,0.0,0.0029411764705882353,340,0,ITA,8.0,0,999,60,1900,0,0,Spain
1972,ESP,43,0,0,1,1,0.0,0.002277904328018223,439,0,GER,12.0,0,999,72,1900,0,0,Spain
1976,ESP,30,0,2,0,2,0.0,0.0045045045045045045,444,0,CAN,4.0,0,999,76,1900,0,0,Spain
1980,ESP,20,1,3,2,6,0.0022026431718061676,0.013215859030837005,454,0,RUS,4.0,0,999,80,1900,0,0,Spain
1984,ESP,20,1,2,2,5,0.0020325203252032522,0.01016260162601626,492,0,USA,4.0,0,999,84,1900,0,0,Spain
1988,ESP,25,1,1,2,4,0.001893939393939394,0.007575757575757576,528,0,KOR,4.0,0,999,88,1900,0,0,Spain
1992,ESP,6,13,7,2,22,0.02268760907504363,0.038394415357766144,573,1,ESP,4.0,0,0,92,1900,0,0,Spain
1996,ESP,13,5,6,6,17,0.008278145695364239,0.028145695364238412,604,0,USA,4.0,0,4,96,1900,0,0,Spain
2000,ESP,25,3,3,5,11,0.004497751124437781,0.01649175412293853,667,0,AUS,4.0,0,8,100,1900,0,0,Spain
2004,ESP,20,3,11,6,20,0.004484304932735426,0.029895366218236172,669,0,GRE,4.0,0,12,104,1900,0,0,Spain
2008,ESP,14,5,11,3,19,0.007429420505200594,0.02823179791976226,673,0,CHN,4.0,0,16,108,1900,0,0,Spain
2012,ESP,17,4,10,6,20,0.005970149253731343,0.029850746268656716,670,0,GBR,4.0,0,20,112,1900,0,0,Spain
2016,ESP,14,7,4,6,17,0.010263929618768328,0.024926686217008796,682,0,BRA,4.0,0,24,116,1900,0,0,Spain
2020,ESP,22,3,8,6,17,0.003942181340341655,0.022339027595269383,761,0,JPN,4.0,0,28,120,1900,0,0,Spain
2024,ESP,15,5,4,9,18,0.006775067750677507,0.024390243902439025,738,0,FRA,4.0,0,32,124,1900,0,0,Spain
1920,EST,14,1,2,0,3,0.0027548209366391185,0.008264462809917356,363,0,BEL,0.0,1,999,0,1920,1,-71,Estonia
1924,EST,17,1,1,4,6,0.003424657534246575,0.02054794520547945,292,0,FRA,4.0,0,999,4,1920,1,-67,Estonia
1928,EST,16,2,1,2,5,0.007936507936507936,0.01984126984126984,252,0,NED,4.0,0,999,8,1920,1,-63,Estonia
1936,EST,14,2,2,3,7,0.006622516556291391,0.023178807947019868,302,0,GER,8.0,0,999,16,1920,1,-55,Estonia
1992,EST,34,1,0,1,2,0.0017452006980802793,0.0034904013961605585,573,0,ESP,56.0,0,999,72,1920,1,1,Estonia
2000,EST,47,1,0,2,3,0.0014992503748125937,0.004497751124437781,667,0,AUS,8.0,0,999,80,1920,1,9,Estonia
2004,EST,64,0,1,2,3,0.0,0.004484304932735426,669,0,GRE,4.0,0,999,84,1920,1,13,Estonia
2008,EST,47,1,1,0,2,0.0014858841010401188,0.0029717682020802376,673,0,CHN,4.0,0,999,88,1920,1,17,Estonia
2012,EST,65,0,1,1,2,0.0,0.0029850746268656717,670,0,GBR,4.0,0,999,92,1920,1,21,Estonia
2016,EST,78,0,0,1,1,0.0,0.001466275659824047,682,0,BRA,4.0,0,999,96,1920,1,25,Estonia
2020,EST,59,1,0,1,2,0.001314060446780552,0.002628120893561104,761,0,JPN,4.0,0,999,100,1920,1,29,Estonia
1960,ETH,21,1,0,0,1,0.0029411764705882353,0.0029411764705882353,340,0,ITA,0.0,0,999,0,1960,0,0,Ethiopia
1964,ETH,24,1,0,0,1,0.002702702702702703,0.002702702702702703,370,0,JPN,4.0,0,999,4,1960,0,0,Ethiopia
1968,ETH,25,1,1,0,2,0.0025906735751295338,0.0051813471502590676,386,0,MEX,4.0,0,999,8,1960,0,0,Ethiopia
1972,ETH,41,0,0,2,2,0.0,0.004555808656036446,439,0,GER,4.0,0,999,12,1960,0,0,Ethiopia
1980,ETH,17,2,0,2,4,0.004405286343612335,0.00881057268722467,454,0,RUS,8.0,0,999,20,1960,0,0,Ethiopia
1992,ETH,33,1,0,2,3,0.0017452006980802793,0.005235602094240838,573,0,ESP,12.0,0,999,32,1960,0,0,Ethiopia
1996,ETH,34,2,0,1,3,0.0033112582781456954,0.004966887417218543,604,0,USA,4.0,0,999,36,1960,0,0,Ethiopia
2000,ETH,20,4,1,3,8,0.005997001499250375,0.01199400299850075,667,0,AUS,4.0,0,999,40,1960,0,0,Ethiopia
2004,ETH,28,2,3,2,7,0.0029895366218236174,0.01046337817638266,669,0,GRE,4.0,0,999,44,1960,0,0,Ethiopia
2008,ETH,17,4,2,1,7,0.005943536404160475,0.010401188707280832,673,0,CHN,4.0,0,999,48,1960,0,0,Ethiopia
2012,ETH,25,3,2,3,8,0.004477611940298508,0.011940298507462687,670,0,GBR,4.0,0,999,52,1960,0,0,Ethiopia
2016,ETH,44,1,2,5,8,0.001466275659824047,0.011730205278592375,682,0,BRA,4.0,0,999,56,1960,0,0,Ethiopia
2020,ETH,56,1,1,2,4,0.001314060446780552,0.005256241787122208,761,0,JPN,4.0,0,999,60,1960,0,0,Ethiopia
2024,ETH,47,1,3,0,4,0.0013550135501355014,0.005420054200542005,738,0,FRA,4.0,0,999,64,1960,0,0,Ethiopia
2016,FIJ,54,1,0,0,1,0.001466275659824047,0.001466275659824047,682,0,BRA,0.0,0,999,0,2016,0,0,Fiji
2020,FIJ,59,1,0,1,2,0.001314060446780552,0.002628120893561104,761,0,JPN,4.0,0,999,4,2016,0,0,Fiji
2024,FIJ,74,0,1,0,1,0.0,0.0013550135501355014,738,0,FRA,4.0,0,999,8,2016,0,0,Fiji
1908,FIN,13,1,1,3,5,0.003745318352059925,0.018726591760299626,267,0,GBR,0.0,0,999,0,1908,0,0,Finland
1912,FIN,4,9,8,9,26,0.038135593220338986,0.11016949152542373,236,0,SWE,4.0,0,999,4,1908,0,0,Finland
